String;Band;BsbId;Seite;Link;alternativ
Annales ut videtur Alcuini, ed. Georg Heinrich Pertz, in: MGH SS 4, Hannover 1841, S. 2.;MGH SS 4;871;2;http://www.mgh.de/dmgh/resolving/MGH_SS_4_S._2;
Annales S. Amandi breves, ed. Georg Heinrich Pertz, in: MGH SS 2, Hannover 1829, S. 184.;MGH SS 2;;184;;http://www.mgh.de/dmgh/resolving/MGH_SS_2_S._184
Annales S. Bavonis Gandensis, ed. Georg Heinrich Pertz, in: MGH SS 2, Hannover 1829, S. 185-191.;MGH SS 2;;185;;http://www.mgh.de/dmgh/resolving/MGH_SS_2_S._185
Annales Sancti Maximini Trevirensis, ed. Georg Heinrich Pertz, in: MGH SS 2, Hannover 1829, S. 212-213 aus einer Abschrift des 14. Jahrhunderts;MGH SS 2;;212;;http://www.mgh.de/dmgh/resolving/MGH_SS_2_S._212
 Annales Sancti Maximini Trevirensis, ed. Georg Heinrich Pertz, in: MGH SS 4, Hannover 1841, S. 5-7 aus dem Codex Goerres.;MGH SS 4;871;5;http://www.mgh.de/dmgh/resolving/MGH_SS_4_S._5;
Abbonis bella Parisiacae urbis, ed. Paul von Winterfeld, in: MGH Poeta 4,1, Berlin 1899, S. 72-122.;MGH Poeta 4,1;;72;;http://www.mgh.de/dmgh/resolving/MGH_Poeta_4,1_S._72
Erchanberti breviarium regum Francorum, ed. Georg Heinrich Pertz, in: MGH SS 2, Hannover 1829, S. 327-330 vollständig erst ab 741, vorher nur Auszüge;MGH SS 2;;;;http://www.mgh.de/dmgh/resolving/MGH_SS_2
Angilberti carmen de Karolo Magno, ed. Georg Heinrich Pertz, in: MGH SS 2, Hannover 1829, S. 391-403;MGH SS 2;;391;;http://www.mgh.de/dmgh/resolving/MGH_SS_2_S._391
 Karolo Magnus et Leo Papa, ed. Ernst Dümmler, in: MGH Poetae 1, Berlin 1881, S. 366-379.;MGH Poetae 1;831;366;http://www.mgh.de/dmgh/resolving/MGH_Poetae_1_S._366;
Casus S. Galli, ed. Ildefons von Arx, in: MGH SS 2, Hannover 1829, S. 59-74;MGH SS 2;;59;;http://www.mgh.de/dmgh/resolving/MGH_SS_2_S._59
 Ratpert, St. Galler Klostergeschichten (Casus sancti Galli), ed. Hannes Steiner (MGH SS rer. Germ. 75), Hannover 2002.;MGH SS rer. Germ. 75;721;;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Germ._75;
Casuum S. Galli contiuatio II, ed. Ildefons von Arx, in: MGH SS 2, Hannover 1829, S. 148-163.;MGH SS 2;;148;;http://www.mgh.de/dmgh/resolving/MGH_SS_2_S._148
Casuum S. Galli contiuatio III auctore Conrado de Fabaria, ed. Ildefons von Arx, in: MGH SS 2, Hannover 1829, S. 163-183.;MGH SS 2;;163;;http://www.mgh.de/dmgh/resolving/MGH_SS_2_S._163
Liber historiae Francorum, ed. Bruno Krusch, in: MGH SS rer. Merov. 2, Hannover 1888, S. 215-328;MGH SS rer. Merov. 2;749;215;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Merov._2_S._215;
 ed. Bruno Krusch, in: MGH SS rer. Merov. 7, Hannover – Leipzig 1920, S. 772-775 Varianten und Verbesserungen.;MGH SS rer. Merov. 7;754;772;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Merov._7_S._772;
Historia Daretis Frigii de origine Francorum, ed. Bruno Krusch, in: MGH SS rer. Merov. 2, Hannover 1888, S. 194-200.;MGH SS rer. Merov. 2;749;194;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Merov._2_S._194;
Vita Leobae abbatissae Bischofesheimensis auctore Rudolfo Fuldensi, ed. Georg Waitz, in: MGH SS 15,1, Hannover 1887, S. 118-131.;MGH SS 15,1;890;118;http://www.mgh.de/dmgh/resolving/MGH_SS_15,1_S._118;
Die Lebensbeschreibungen der Königin Mathilde, ed. Bernd Schütte (MGH SS rer. Germ. 66), Hannover 1994.;MGH SS rer. Germ. 66;714;;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Germ._66;
Ex vita Adalhard, ed. Georg Heinrich Pertz, in: MGH SS 2, Hannover 1829, S. 524-532 Auszüge;MGH SS 2;;524;;http://www.mgh.de/dmgh/resolving/MGH_SS_2_S._524
Ex vita Arnulfi episcope Suessionensis auct. Hariulfo abate Aldenburgensi, ed. Oswald Holder-Egger, in: MGH SS 15,2, Hannover 1888, S. 872-904 Auszüge;MGH SS 15,2;889;872;http://www.mgh.de/dmgh/resolving/MGH_SS_15,2_S._872;
Vita Bennonis II. episcopi Osnabrvgensis avctore Nortberto abbate Ibvrgensi, ed. Harry Bresslau, in: MGH SS 30,2, Leipzig 1934, S. 869-892.;MGH SS 30,2;883;869;http://www.mgh.de/dmgh/resolving/MGH_SS_30,2_S._869;
Vita Eigilis abbatis Fuldensis auctore Candido, ed. Georg Waitz, in: MGH SS 15,1, Berlin 1887, S. 221-233 Prosateil;MGH SS 15,1;890;221;http://www.mgh.de/dmgh/resolving/MGH_SS_15,1_S._221;
 Candidus de vita Aeigili, ed. Ernst Dümmler, in: MGH Poetae 2, Hannover 1884, S. 94-117.;MGH Poetae 2;832;94;http://www.mgh.de/dmgh/resolving/MGH_Poetae_2_S._94;
Ex vita Hugonis auctore Rainaldo, ed. Lothar von Heinemann, in: MGH SS 15,2, Hannover 1888, S. 940-941 Auszüge;MGH SS 15,2;889;940;http://www.mgh.de/dmgh/resolving/MGH_SS_15,2_S._940;
Ex vita sancti Lebuini auctore Hucbaldo monacho s. Armandi, ed. Georg Heinrich Pertz, in: MGH SS 2, Hannover 1829, S. 360-364 Auszüge;MGH SS 2;;360;;http://www.mgh.de/dmgh/resolving/MGH_SS_2_S._360
Altfridi vita sancti Liudgeri, ed. Georg Heinrich Pertz, in: MGH SS 2, Hannover 1829, S. 403-425.;MGH SS 2;;403;;http://www.mgh.de/dmgh/resolving/MGH_SS_2_S._403
Eigilis vita sancit Sturmi, ed. Georg Heinrich Pertz, in: MGH SS 2, Hannover 1829, S. 365-377.;MGH SS 2;;365;;http://www.mgh.de/dmgh/resolving/MGH_SS_2_S._365
Wolferi vita Godehardi episcopi piror, ed. Georg Heinrich Pertz, in: MGH SS 11, Hannover 1854, S. 167- 196;MGH SS 11;942;167;http://www.mgh.de/dmgh/resolving/MGH_SS_11_S._167;
Passio Leudegarii episcopi Augustodunensis auctore Ursino, ed. Bruno Krusch, in: MGH SS rer. Merov. 5, Hannover – Leipzig 1910, S. 323-356.;MGH SS rer. Merov. 5;752;323;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Merov._5_S._323;
Walafride Strabonis vita sancti Otmari abbatis Sangallensis, ed. Ildefons von Arx, in: MGH SS 2, Hannover 1829, S. 41-47.;MGH SS 2;;41;;http://www.mgh.de/dmgh/resolving/MGH_SS_2_S._41
Ysonis de miraculis s. Otmari libri II, ed. Ildefons von Arx, in: MGH SS 2, Hannover 1829, S. 47-54.;MGH SS 2;;47;;http://www.mgh.de/dmgh/resolving/MGH_SS_2_S._47
Rhythmi de sancto Otmaro, ed. Ildefons von Arx, in: MGH SS 2, Hannover 1829, S. 54-58.;MGH SS 2;;54;;http://www.mgh.de/dmgh/resolving/MGH_SS_2_S._54
Vita sancti Galli, ed. Ildefons von Arx, in: MGH SS 2, Hannover 1829, S. 1-21;MGH SS 2;;1;;http://www.mgh.de/dmgh/resolving/MGH_SS_2_S._1
 Gozberti diaconi continuatio libri II de miraculis s. Galli per Walafridum emendata, ed. Ildefons von Arx, in: MGH SS 2, Hannover 1829, S. 21-31;MGH SS 2;;21;;http://www.mgh.de/dmgh/resolving/MGH_SS_2_S._21
 Vita Galli auctore Wettino cum prologo metric ad Gozbertum, ed. Bruno Krusch, in: MGH SS rer. Merov. 4, Hannover – Leipzig 1902, S. 256-280.;MGH SS rer. Merov. 4;751;256;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Merov._4_S._256;
Ermenrici coenobitae Augiensis tentamen vitae s. Galli adornandae in prosa et metro, ed. Ildefons von Arx, in: MGH SS 2, Hannover 1829, S. 31-33 Auszug über den hl. Gallus;MGH SS 2;;31;;http://www.mgh.de/dmgh/resolving/MGH_SS_2_S._31
 Ermenrici Elwangensis epistola ad Grimaldum abbatem, ed. Ernst Dümmler, in: MGH Epp. 5, Berlin 1899, S. 534-580.;MGH Epp. 5;539;534;http://www.mgh.de/dmgh/resolving/MGH_Epp._5_S._534;
Chronica de sex aetatibus mundi, ed. Georg Heinrich Pertz, in: MGH SS 2, Hannover 1829, S. 256.;MGH SS 2;;256;;http://www.mgh.de/dmgh/resolving/MGH_SS_2_S._256
Abbatum s. Galli catalogus, ed. Ildefons von Arx, in: MGH SS 2, Hannover 1829, S. 34-37.;MGH SS 2;;34;;http://www.mgh.de/dmgh/resolving/MGH_SS_2_S._34
Abbatum monasterii Augensis catalogus, ed. Ildefons von Arx, in: MGH SS 2, Hannover 1829, S. 37-38.;MGH SS 2;;37;;http://www.mgh.de/dmgh/resolving/MGH_SS_2_S._37
Episcoporum Constantiensium catalogus, ed. Ildefons von Arx, in: MGH SS 2, Hannover 1829, S. 39.;MGH SS 2;;39;;http://www.mgh.de/dmgh/resolving/MGH_SS_2_S._39
Vita s. Bonifatii archiepiscopi auctore Willibaldo presbytero, ed. Georg Heinrich Pertz, in: MGH SS 2, Hannover 1829, S. 331-359;MGH SS 2;;331;;http://www.mgh.de/dmgh/resolving/MGH_SS_2_S._331
 Vita Bonifatii auctore Willibaldo, ed. Wilhelm Levison, in: MGH SS rer. Germ. [57], Hannover – Leipzig 1905, S. 1-58.;MGH SS rer. Germ. 57;705;1;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Germ._57_S._1;
Chronicon Aquitanicum, ed. Georg Heinrich Pertz, in: MGH SS 2, Hannover 1829, S. 252-253.;MGH SS 2;;252;;http://www.mgh.de/dmgh/resolving/MGH_SS_2_S._252
Ex vita s. Idae auctore Uffingo monacho Werthiniensi, ed. Georg Heinrich Pertz, in: MGH SS 2, Hannover 1829, S. 569-576 Auszüge;MGH SS 2;;569;;http://www.mgh.de/dmgh/resolving/MGH_SS_2_S._569
Vita sanctae Chrothildis, ed. Bruno Krusch, in: MGH SS rer. Merov. 2, Hannover 1888, S. 341-348.;MGH SS rer. Merov. 2;749;341;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Merov._2_S._341;
Vita sancti Arnulfi, ed. Bruno Krusch, in: MGH SS rer. Merov. 2, Hannover 1888, S. 426-446.;MGH SS rer. Merov. 2;749;426;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Merov._2_S._426;
Regum Francorum genealogiae, ed. Georg Heinrich Pertz, in: MGH SS 2, Hannover 1829, S. 304-314. ;MGH SS 2;;304;;http://www.mgh.de/dmgh/resolving/MGH_SS_2_S._304
 Genealogiae Karolum, ed. Georg Waitz, in: MGH SS 13, Hannover 1881, S. 242-248.;MGH SS 13;875;242;http://www.mgh.de/dmgh/resolving/MGH_SS_13_S._242;
Vitae Columbani abbatis discipulorumque eius libri II, ed. Bruno Krusch, in: MGH SS rer. Germ. [37], Hannover – Leipzig 1905, S. 1-294.;MGH SS rer. Germ. 37;740;1;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Germ._37_S._1;
Chronicon Sancti Martini Coloniensis, ed. Georg Heinrich Pertz, in: MGH SS 2, Hannover 1829, S. 214-215.;MGH SS 2;;214;;http://www.mgh.de/dmgh/resolving/MGH_SS_2_S._214
Annales breves Fuldenses ed. Georg Heinrich Pertz, in: MGH SS 2, Hannover 1829, S. 237.;MGH SS 2;;237;;http://www.mgh.de/dmgh/resolving/MGH_SS_2_S._237
Vita s. Rimberti ed. Georg Heinrich Pertz, in: MGH SS 2, Hannover 1829, S. 764-775.;MGH SS 2;;764;;http://www.mgh.de/dmgh/resolving/MGH_SS_2_S._764
Ex historia translationis sanctae Pusinnae ed. Georg Heinrich Pertz, in: MGH SS 2, Hannover 1829, S. 681-683 Auszüge;MGH SS 2;;681;;http://www.mgh.de/dmgh/resolving/MGH_SS_2_S._681
Historia translationis s. Viti, ed. Georg Heinrich Pertz, in: MGH SS 2, Hannover 1829, S. 576-585.;MGH SS 2;;576;;http://www.mgh.de/dmgh/resolving/MGH_SS_2_S._576
Passio sancti Sigismundi regis, ed. Bruno Krusch, in: MGH SS rer. Merov. 2, Hannover 1888, S. 329-340.;MGH SS rer. Merov. 2;749;329;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Merov._2_S._329;
Gesta Theoderici regis. Vita ex Aimoino hausta, ed. Bruno Krusch, in: MGH SS rer. Merov. 2, Hannover 1888, S. 210-214.;MGH SS rer. Merov. 2;749;210;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Merov._2_S._210;
De vita sanctae Radegundis libri duo, ed. Bruno Krusch, in: MGH SS rer. Merov. 2, Hannover 1888, S. 358-395.;MGH SS rer. Merov. 2;749;358;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Merov._2_S._358;
Vita sancti Chlodovaldi, ed. Bruno Krusch, in: MGH SS rer. Merov. 2, Hannover 1888, S. 349-357.;MGH SS rer. Merov. 2;749;349;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Merov._2_S._349;
Vita sanctae Geretrudis, ed. Bruno Krusch, in: MGH SS rer. Merov. 2, Hannover 1888, S. 447-474.;MGH SS rer. Merov. 2;749;447;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Merov._2_S._447;
Vita sanctae Balthildis, ed. Bruno Krusch, in: MGH SS rer. Merov. 2, Hannover 1888, S. 475-508.;MGH SS rer. Merov. 2;749;475;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Merov._2_S._475;
Vita Dagoberti III. regis Francorum, ed. Bruno Krusch, in: MGH SS rer. Merov. 2, Hannover 1888, S. 509-524.;MGH SS rer. Merov. 2;749;509;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Merov._2_S._509;
Annales Wirziburgenses, ed. Georg Heinrich Pertz, in: MGH SS 2, Hannover 1829, S. 238-247.;MGH SS 2;;238;;http://www.mgh.de/dmgh/resolving/MGH_SS_2_S._238
Gesta Theoderici regis. Vita Fuldensis, ed. Bruno Krusch, in: MGH SS rer. Merov. 2, Hannover 1888, S. 202-210.;MGH SS rer. Merov. 2;749;202;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Merov._2_S._202;
Chronicon Novaliciense, ed. Ludwig Konrad Bethmann, in: MGH SS 7, Hannover 1846, S. 73-133.;MGH SS 7;1080;73;http://www.mgh.de/dmgh/resolving/MGH_SS_7_S._73;
Chronicon Moissiacense, ed. Georg Heinrich Pertz, in: MGH SS 1, Hannover 1826, S. 280-313;MGH SS 1;;280;;http://www.mgh.de/dmgh/resolving/MGH_SS_1_S._280
 Ex Chronico Moissiacensi, ed. Georg Heinrich Pertz, in: MGH SS 2, Hannover 1829, S. 257-259.;MGH SS 2;;257;;http://www.mgh.de/dmgh/resolving/MGH_SS_2_S._257
Richer von Saint-Remi, Historiarum libri IV ed. Hartmut Hoffmann (MGH SS 38), Hannover 2000.;MGH SS 38;607;;http://www.mgh.de/dmgh/resolving/MGH_SS_38;
 Continuatio Isidoriana Hispana a. DCCLIV, ed. Theodor Mommsen, in: MGH Auct. ant. 11, Berlin 1894, S. 323–369;MGH Auct. ant. 11;823;323;http://www.mgh.de/dmgh/resolving/MGH_Auct._ant._11_S._323;
Vita Gregorii abbatis prior, ed. Oswald Holder-Egger, in: MGH SS 15,2, Hannover 1888, S. 1187-1190.;MGH SS 15,2;889;1187;http://www.mgh.de/dmgh/resolving/MGH_SS_15,2_S._1187;
Vita Gregorii abbatis porcetensis posterior, ed. Oswald Holder-Egger, in: MGH SS 15,2, Hannover 1888, S. 1191-1199.;MGH SS 15,2;889;1191;http://www.mgh.de/dmgh/resolving/MGH_SS_15,2_S._1191;
Annales Mettenses priores, ed. Bernhard von Simson (MGH SS rer. Germ. [10]), Hannover – Leipzig 1905.;MGH SS rer. Germ. 10;763;;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Germ._10;